series_name,series_slug_tr,series_slug_en,release_date,figure_name,figure_slug_tr,figure_slug_en,figure_number,figure_code,character_name,short_description_tr,short_description_en,figure_role,figure_type,min_price,max_price,avg_price,price_updated_at,rarity_level,rarity_score,series_score,value_score,demand_score,view_count_30d,collection_count_30d,favorite_count_30d,rating_count,piece_count,accessory_count,main_color,image_url,thumbnail_url,is_featured,is_active,is_published
LEGO® Minifigürler Serisi 3,lego-minifigurler-serisi-3,lego-minifigures-series-3,2011-01-01,Gorilla Suit Guy,gorilla-suit-guy,gorilla-suit-guy,1,col03-1,Gorilla Suit Guy,"Gorilla Suit Guy, eğlenceli gösterilerin vazgeçilmez maskotudur. Devasa goril kostümüyle kalabalıkları güldürür. Sahne arkasında sessiz bir kahramandır; insanları eğlendirmeyi sever ama kostümün içindeki kim olduğunu kimse bilmez.",,Eğlendirici,Maskot / Komik Karakter,10,10,10,,Yaygın,,,,,0,0,0,0,5,,,,,FALSE,TRUE,TRUE
LEGO® Minifigürler Serisi 3,lego-minifigurler-serisi-3,lego-minifigures-series-3,2011-01-01,Pilot,pilot,pilot,2,col03-2,Pilot,"Pilot, gökyüzünün özgür ruhudur. Uçağını bulutların arasından ustalıkla geçirir. Yeni ufuklar keşfetmeyi sever, her iniş onun için bir zaferdir. Cesareti ve disipliniyle ekibine güven verir.",,Pilot,Cesur / Maceraperest,8,8,8,,Yaygın,,,,,0,0,0,0,5,,,,,FALSE,TRUE,TRUE
LEGO® Minifigürler Serisi 3,lego-minifigurler-serisi-3,lego-minifigures-series-3,2011-01-01,Baseball Player,baseball-player,baseball-player,3,col03-3,Baseball Player,"Baseball Player, sahaların yıldızıdır. Sopasını kaldırdığında herkes nefesini tutar. Her vuruşta takımını zafere taşır. Kararlılığı ve hırsıyla sporda başarıya ulaşmanın sembolüdür.",,Sporcu,Takım Oyuncusu / Kararlı,9,9,9,,Yaygın,,,,,0,0,0,0,5,,,,,FALSE,TRUE,TRUE
LEGO® Minifigürler Serisi 3,lego-minifigurler-serisi-3,lego-minifigures-series-3,2011-01-01,Samurai Warrior,samurai-warrior,samurai-warrior,4,col03-4,Samurai Warrior,"Samurai Warrior, onur ve disiplinle yaşayan bir savaşçıdır. Kılıcını sadece adalet için çeker. Antik geleneklere bağlı, ruhu saf bir dövüşçüdür. Savaşta sessiz ama ölümcül derecede etkilidir.",,Savaşçı,Onurlu / Disiplinli,15,15,15,,Nadir,,,,,0,0,0,0,6,,,,,FALSE,TRUE,TRUE
LEGO® Minifigürler Serisi 3,lego-minifigurler-serisi-3,lego-minifigures-series-3,2011-01-01,Space Villain,space-villain,space-villain,5,col03-5,Space Villain,"Space Villain, galaksiler arası kötülüğün temsilcisidir. Parlayan gözleriyle düşmanlarını korkutur. Teknolojiye hükmeden zekasıyla evreni ele geçirmeye çalışır. Onunla karşılaşanlar cesaret testinden geçer.",,Kötü Karakter,Uzaylı / Teknolojik,12,12,12,,Nadir,,,,,0,0,0,0,5,,,,,FALSE,TRUE,TRUE
LEGO® Minifigürler Serisi 3,lego-minifigurler-serisi-3,lego-minifigures-series-3,2011-01-01,Hula Dancer,hula-dancer,hula-dancer,6,col03-6,Hula Dancer,"Hula Dancer, tropik adaların ritmini bedeninde taşır. Her dönüşüyle rüzgarı dansa davet eder. Neşeli ve sıcak kalplidir. Sahildeki her festivalde enerjisiyle büyüler.",,Dansçı,Neşeli / Tropik Ruh,8,8,8,,Yaygın,,,,,0,0,0,0,5,,,,,FALSE,TRUE,TRUE
LEGO® Minifigürler Serisi 3,lego-minifigurler-serisi-3,lego-minifigures-series-3,2011-01-01,Race Car Driver,race-car-driver,race-car-driver,7,col03-7,Race Car Driver,"Race Car Driver, hızın ve rekabetin tutkunudur. Kaskını takar, pistte adeta rüzgar olur. Her yarışta limitleri zorlar. Kazanmak için doğmuştur; motorun sesi onun kalp atışıdır.",,Sporcu,Yarışçı / Hız Tutkunu,9,9,9,,Yaygın,,,,,0,0,0,0,5,,,,,FALSE,TRUE,TRUE
LEGO® Minifigürler Serisi 3,lego-minifigurler-serisi-3,lego-minifigures-series-3,2011-01-01,Elf,elf,elf,8,col03-8,Elf,"Elf, doğanın kadim koruyucusudur. Uzun ömrü boyunca ormanları ve büyüyü korur. Yayındaki her ok, adalet için atılır. Sessizdir ama gerektiğinde yıldırım gibi hızlı davranır.",,Fantastik Karakter,Doğa Koruyucusu / Efsanevi,20,20,20,,Çok Nadir,,,,,0,0,0,0,6,,,,,FALSE,TRUE,TRUE
LEGO® Minifigürler Serisi 3,lego-minifigurler-serisi-3,lego-minifigures-series-3,2011-01-01,Fisherman,fisherman,fisherman,9,col03-9,Fisherman,"Fisherman, sabrın ve huzurun sembolüdür. Gün doğumunda göle çıkar, oltasını sessizce suya bırakır. Balık tutmak onun için bir meditasyondur. Doğayla uyum içinde yaşar.",,Kaşif,Sakin / Doğa Dostu,10,10,10,,Yaygın,,,,,0,0,0,0,5,,,,,FALSE,TRUE,TRUE
LEGO® Minifigürler Serisi 3,lego-minifigurler-serisi-3,lego-minifigures-series-3,2011-01-01,Sumo Wrestler,sumo-wrestler,sumo-wrestler,10,col03-10,Sumo Wrestler,"Sumo Wrestler, gücün ve denge sanatının ustasıdır. Her rakibini saygıyla karşılar. Geleneksel kıyafetiyle ringe çıkar, her adımında disiplini hissedilir. Onun için her maç bir onur mücadelesidir.",,Savaşçı,Güçlü / Geleneksel,9,9,9,,Yaygın,,,,,0,0,0,0,5,,,,,FALSE,TRUE,TRUE
LEGO® Minifigürler Serisi 3,lego-minifigurler-serisi-3,lego-minifigures-series-3,2011-01-01,Snowboarder,snowboarder,snowboarder,11,col03-11,Snowboarder,"Snowboarder, karla kaplı dağların özgür ruhudur. Tahtasının üzerinde kayarken rüzgarla yarışır. Her atlayışta adrenalin zirveye ulaşır. Soğuk hava bile onun enerjisini dindiremez.",,Sporcu,Maceraperest / Genç Ruh,8,8,8,,Yaygın,,,,,0,0,0,0,5,,,,,FALSE,TRUE,TRUE
LEGO® Minifigürler Serisi 3,lego-minifigurler-serisi-3,lego-minifigures-series-3,2011-01-01,Tennis Player,tennis-player,tennis-player,12,col03-12,Tennis Player,"Tennis Player, kortun dinamosudur. Raketiyle topu ustaca yönlendirir, her vuruşunda zaferi hedefler. Disiplinli, rekabetçi ve tutkulu bir sporcudur. Her maç onun için yeni bir mücadeledir.",,Sporcu,Disiplinli / Dikkatli,7,7,7,,Yaygın,,,,,0,0,0,0,4,,,,,FALSE,TRUE,TRUE
LEGO® Minifigürler Serisi 3,lego-minifigurler-serisi-3,lego-minifigures-series-3,2011-01-01,Rapper,rapper,rapper,13,col03-13,Rapper,"Rapper, ritimle konuşur, kelimeleriyle dünyayı şekillendirir. Mikrofonu eline aldığında sahne alev alır. Sokak kültürünü ve özgürlüğü temsil eder. Her sözü bir hikaye taşır.",,Sanatçı,Müzisyen / Özgür Ruh,8,8,8,,Yaygın,,,,,0,0,0,0,5,,,,,FALSE,TRUE,TRUE
LEGO® Minifigürler Serisi 3,lego-minifigurler-serisi-3,lego-minifigures-series-3,2011-01-01,Mummy,mummy,mummy,14,col03-14,Mummy,"Mummy, bin yıllık uykusundan uyanan gizemli bir varlıktır. Sarılı bezleri arasında eski sırlar saklar. Ne tam canlıdır ne ölü. Mezarlardan gelen fısıltılar onun hikayesini anlatır.",,Korku Karakteri,Gizemli / Efsanevi,11,11,11,,Nadir,,,,,0,0,0,0,5,,,,,FALSE,TRUE,TRUE
LEGO® Minifigürler Serisi 3,lego-minifigurler-serisi-3,lego-minifigures-series-3,2011-01-01,Alien,alien,alien,15,col03-15,Alien,"Alien, bilinmeyen gezegenlerden gelen gizemli bir yaratıktır. Parlayan gözleriyle yıldızların ötesini görür. Barışçıl mı yoksa istilacı mı olduğu bilinmez. Evrende yalnız olmadığımızın kanıtıdır.",,Uzaylı,Bilinmeyen / Gizemli,10,10,10,,Yaygın,,,,,0,0,0,0,5,,,,,FALSE,TRUE,TRUE
LEGO® Minifigürler Serisi 3,lego-minifigurler-serisi-3,lego-minifigures-series-3,2011-01-01,Tribal Chief,tribal-chief,tribal-chief,16,col03-16,Tribal Chief,"Tribal Chief, kabilesinin bilge lideridir. Halkını korur, doğaya saygı duyar. Her kararı tecrübe ve adaletle verir. Cesur ama merhametlidir; sözleriyle bile savaşları bitirebilir.",,Lider,Bilge / Adaletli,13,13,13,,Nadir,,,,,0,0,0,0,6,,,,,FALSE,TRUE,TRUE
LEGO® Minifigürler Serisi 4,lego-minifigurler-serisi-4,lego-minifigures-series-4,2011-04-01,The Monster,the-monster,the-monster,1,col04-1,The Monster,"The Monster, laboratuvardan kaçan güçlü bir yaratık. Bilim adamının deneyinden doğdu ama kalbi kötü değil. Gücü sınırsız, ama dost arıyor. Her adımında yer sarsılıyor.",,Yaratık,Korku Karakteri / Güçlü,10,10,10,,Yaygın,,,,,0,0,0,0,5,,,,,FALSE,TRUE,TRUE
LEGO® Minifigürler Serisi 4,lego-minifigurler-serisi-4,lego-minifigures-series-4,2011-04-01,Surfer Girl,surfer-girl,surfer-girl,2,col04-2,Surfer Girl,"Surfer Girl, dalgaların cesur savaşçısı. Denizin enerjisini hisseder, her dalgada sınırlarını zorlar. Güneş, deniz ve özgürlük onun yaşam tarzı. Dalgalarla yarışırken mutlulukla gülümser.",,Sporcu,Maceraperest / Cesur,9,9,9,,Yaygın,,,,,0,0,0,0,5,,,,,FALSE,TRUE,TRUE
LEGO® Minifigürler Serisi 4,lego-minifigurler-serisi-4,lego-minifigures-series-4,2011-04-01,Sailor,sailor,sailor,3,col04-3,Sailor,"Sailor, denizlerin kahramanı. Ufukta yeni maceralar arar. Dürüst, disiplinli ve cesurdur. Fırtınalarla savaşır ama pes etmez. Denizin dilini anlar, her dalgada bir hikaye bulur.",,Denizci,Kahraman / Cesur,8,8,8,,Yaygın,,,,,0,0,0,0,5,,,,,FALSE,TRUE,TRUE
LEGO® Minifigürler Serisi 4,lego-minifigurler-serisi-4,lego-minifigures-series-4,2011-04-01,Viking,viking,viking,4,col04-4,Viking,"Viking, kuzeyin korkusuz savaşçısı. Kalkanı ve baltasıyla zafere yürür. Onur, cesaret ve sadakat onun yaşam ilkeleridir. Efsanelerde adı geçen savaşlardan sağ çıkan az kişiden biridir.",,Savaşçı,Efsanevi / Onurlu,14,14,14,,Nadir,,,,,0,0,0,0,6,,,,,FALSE,TRUE,TRUE
LEGO® Minifigürler Serisi 4,lego-minifigurler-serisi-4,lego-minifigures-series-4,2011-04-01,The Artist,the-artist,the-artist,5,col04-5,The Artist,"The Artist, yaratıcılığın vücut bulmuş halidir. Fırçasını kaldırdığında renkler dile gelir. Her tablosu farklı bir hikaye anlatır. Sanat onun için bir yaşam biçimidir.",,Sanatçı,Yaratıcı / Hayalperest,9,9,9,,Yaygın,,,,,0,0,0,0,5,,,,,FALSE,TRUE,TRUE
LEGO® Minifigürler Serisi 4,lego-minifigurler-serisi-4,lego-minifigures-series-4,2011-04-01,Hockey Player,hockey-player,hockey-player,6,col04-6,Hockey Player,"Hockey Player, buz üstünde hızla süzülen güçlü bir sporcudur. Takımı için her şeyi göze alır. Disiplinli, çevik ve kararlıdır. Her maçta zafer için mücadele eder.",,Sporcu,Takım Oyuncusu / Hırslı,8,8,8,,Yaygın,,,,,0,0,0,0,5,,,,,FALSE,TRUE,TRUE
